date,etf,ndvi,landsat
1992-11-17,0.787,0.1613,Landsat 5
1993-03-16,0.5321,0.2348,Landsat 5
1993-05-03,0.4256,0.3442,Landsat 5
1993-05-19,0.6921,0.4119,Landsat 5
1993-06-20,0.2419,0.2304,Landsat 5
1993-07-06,0.1184,0.1867,Landsat 5
1993-07-22,0.0749,0.1475,Landsat 5
1993-09-08,0.1616,0.1315,Landsat 5
1993-10-10,0.795,0.1387,Landsat 5
1993-10-26,0.3369,0.1687,Landsat 5
1993-11-27,0.4321,0.2043,Landsat 5
1993-12-13,0.4467,0.1786,Landsat 5
1994-01-14,0.8164,0.1606,Landsat 5
1994-01-30,0.3657,0.1347,Landsat 5
