date,etf,ndvi,landsat
2011-12-07,0.5889,0.1497,Landsat 7
2012-01-08,0.3249,0.1428,Landsat 7
2012-02-25,0.338,0.1632,Landsat 7
2012-03-12,0.2572,0.1527,Landsat 7
2012-03-28,0.1106,0.1541,Landsat 7
2012-04-29,0.2181,0.1643,Landsat 7
2012-05-24,0.1087,0.1063,Landsat 7
2012-06-16,0.0461,0.1109,Landsat 7
2012-07-02,0.0567,0.1487,Landsat 7
2012-07-18,0.0456,0.1105,Landsat 7
2012-08-03,0.0544,0.1281,Landsat 7
2012-09-04,0.0501,0.1302,Landsat 7
2012-09-20,0.0459,0.1159,Landsat 7
2012-11-07,0.137,0.1247,Landsat 7
2012-11-23,0.3815,0.0829,Landsat 7
2013-02-27,0.6122,0.0896,Landsat 7
