date,eto
1994-01-01,1.0066949129104614
1994-01-02,1.613466501235962
1994-01-03,1.4798909425735474
1994-01-04,1.2310775518417358
1994-01-05,2.18568754196167
1994-01-06,1.7069897651672363
1994-01-07,1.1974760293960571
1994-01-08,1.0962024927139282
1994-01-09,1.5117955207824707
1994-01-10,1.0277409553527832
1994-01-11,0.8522673845291138
1994-01-12,1.3421671390533447
1994-01-13,1.32925546169281
1994-01-14,1.0198153257369995
1994-01-15,0.732453465461731
1994-01-16,1.7989474534988403
1994-01-17,1.6292129755020142
1994-01-18,1.1928945779800415
1994-01-19,1.102870225906372
1994-01-20,0.9736194014549255
1994-01-21,1.3358932733535767
1994-01-22,1.0357646942138672
1994-01-23,2.0020992755889893
1994-01-24,1.631342887878418
1994-01-25,2.4700348377227783
1994-01-26,0.6565490365028381
1994-01-27,0.7129936814308167
1994-01-28,1.2776964902877808
1994-01-29,1.287752389907837
1994-01-30,1.1189888715744019
1994-01-31,1.535880446434021
1994-02-01,1.5814244747161865
1994-02-02,1.163777232170105
1994-02-03,1.1991450786590576
1994-02-04,1.6920758485794067
1994-02-05,0.8889729380607605
1994-02-06,1.4827353954315186
1994-02-07,1.9924976825714111
1994-02-08,1.9953930377960205
1994-02-09,1.9957914352416992
1994-02-10,1.8016324043273926
1994-02-11,1.4571878910064697
1994-02-12,1.470550298690796
1994-02-13,1.2581948041915894
1994-02-14,1.31879460811615
1994-02-15,1.6379426717758179
1994-02-16,2.0883541107177734
1994-02-17,2.382603645324707
1994-02-18,2.7555620670318604
1994-02-19,2.0029098987579346
1994-02-20,2.058431386947632
1994-02-21,1.7112829685211182
1994-02-22,2.081834316253662
1994-02-23,2.237090587615967
1994-02-24,2.320185899734497
1994-02-25,2.207273244857788
1994-02-26,2.8226089477539062
1994-02-27,3.1503512859344482
1994-02-28,2.6262569427490234
1994-03-01,2.2864933013916016
1994-03-02,2.0698354244232178
1994-03-03,2.4888060092926025
1994-03-04,2.9261484146118164
1994-03-05,2.904700517654419
1994-03-06,2.7822232246398926
1994-03-07,2.6270904541015625
1994-03-08,2.5332436561584473
1994-03-09,2.9019687175750732
1994-03-10,2.5634822845458984
1994-03-11,2.8675997257232666
1994-03-12,2.9768319129943848
1994-03-13,2.6668522357940674
1994-03-14,2.936267852783203
1994-03-15,2.752331018447876
1994-03-16,4.268897533416748
1994-03-17,4.570759296417236
1994-03-18,3.300461769104004
1994-03-19,3.4570884704589844
1994-03-20,2.2737557888031006
1994-03-21,2.8845458030700684
1994-03-22,4.52958345413208
1994-03-23,2.767875909805298
1994-03-24,3.7979705333709717
1994-03-25,2.7788541316986084
1994-03-26,3.419896125793457
1994-03-27,2.9216859340667725
1994-03-28,3.535388946533203
1994-03-29,4.282595634460449
1994-03-30,3.4121415615081787
1994-03-31,3.5598278045654297
1994-04-01,4.605116367340088
1994-04-02,4.322359561920166
1994-04-03,4.653571605682373
1994-04-04,4.865796089172363
1994-04-05,4.000664234161377
1994-04-06,3.642484426498413
1994-04-07,4.257863998413086
1994-04-08,3.7489376068115234
1994-04-09,2.9363625049591064
1994-04-10,2.974264621734619
1994-04-11,3.1951534748077393
1994-04-12,4.088108539581299
1994-04-13,4.62632942199707
1994-04-14,5.920660018920898
1994-04-15,4.9930033683776855
1994-04-16,4.5664191246032715
1994-04-17,5.043785572052002
1994-04-18,4.57546329498291
1994-04-19,5.009376525878906
1994-04-20,5.071470260620117
1994-04-21,5.2952046394348145
1994-04-22,5.618712425231934
1994-04-23,6.282775402069092
