date,etf,ndvi,landsat
2005-11-03,0.3369,0.2898,Landsat 5
2005-11-04,0.2686,0.3985,Landsat 7
2005-11-19,1.0047,0.3081,Landsat 5
2005-11-20,1.128,0.3033,Landsat 7
2005-12-22,0.9438,0.1741,Landsat 7
2005-12-29,0.6069,0.2842,Landsat 7
2006-02-07,0.5754,0.1374,Landsat 5
2006-02-08,0.6089,0.1821,Landsat 7
2006-02-16,0.2408,0.1254,Landsat 5
2006-02-23,0.4615,0.1663,Landsat 5
2006-02-24,0.6216,0.1579,Landsat 7
2006-03-03,0.698,0.1792,Landsat 7
2006-04-12,0.4514,0.343,Landsat 5
2006-04-21,0.5193,0.416,Landsat 5
2006-04-29,0.5469,0.4682,Landsat 7
2006-05-14,0.4908,0.4882,Landsat 5
2006-05-15,0.513,0.4947,Landsat 7
2006-05-23,0.7009,0.4969,Landsat 5
2006-05-30,0.6321,0.4797,Landsat 5
2006-05-31,0.5982,0.4529,Landsat 7
2006-06-07,0.3454,0.3937,Landsat 7
2006-06-16,0.6558,0.4976,Landsat 7
2006-06-23,0.5242,0.4946,Landsat 7
2006-06-24,0.51,0.4743,Landsat 5
2006-07-02,0.6567,0.5,Landsat 7
2006-07-17,0.6472,0.5464,Landsat 5
2006-07-26,0.6201,0.6278,Landsat 5
2006-08-02,0.7795,0.5987,Landsat 5
2006-08-11,0.4679,0.5544,Landsat 5
2006-08-18,0.5901,0.5363,Landsat 5
2006-08-19,0.5972,0.5379,Landsat 7
2006-08-26,0.6095,0.5037,Landsat 7
2006-08-27,0.7232,0.4838,Landsat 5
2006-09-03,0.5809,0.4325,Landsat 5
2006-09-04,0.6091,0.4708,Landsat 7
2006-09-12,0.6593,0.4348,Landsat 5
2006-09-19,0.6225,0.421,Landsat 5
2006-09-27,0.7124,0.4304,Landsat 7
2006-09-28,0.5661,0.397,Landsat 5
2006-10-13,1.0523,0.4386,Landsat 7
2006-10-22,1.1783,0.4093,Landsat 7
2006-10-29,1.0223,0.373,Landsat 7
2006-10-30,0.5748,0.3291,Landsat 5
2006-11-06,1.0794,0.2069,Landsat 5
2006-11-15,0.8295,0.2192,Landsat 5
2006-11-22,0.9897,0.2482,Landsat 5
2006-12-08,0.8078,0.1137,Landsat 5
2006-12-09,0.6332,0.1524,Landsat 7
2007-02-18,0.7135,0.1734,Landsat 7
2007-02-26,0.5747,0.1058,Landsat 5
2007-02-27,0.6091,0.239,Landsat 7
