date,etf,ndvi,landsat
1997-01-06,0.2816,0.2083,Landsat 5
1997-02-07,0.4718,0.2064,Landsat 5
1997-03-11,0.3606,0.2061,Landsat 5
1997-03-27,0.3485,0.2045,Landsat 5
1997-04-12,0.3711,0.2725,Landsat 5
1997-05-14,0.248,0.2235,Landsat 5
1997-05-30,0.4523,0.1853,Landsat 5
1997-06-15,0.2588,0.174,Landsat 5
1997-07-01,0.0858,0.1495,Landsat 5
1997-07-17,0.0684,0.148,Landsat 5
1997-08-02,0.1075,0.1484,Landsat 5
1997-08-18,0.1427,0.1448,Landsat 5
1997-09-03,0.1965,0.1362,Landsat 5
1997-10-05,0.4168,0.2823,Landsat 5
1997-10-21,0.7097,0.3156,Landsat 5
1997-11-06,0.5619,0.2957,Landsat 5
1997-11-22,0.96,0.3278,Landsat 5
1998-01-25,0.7587,0.2178,Landsat 5
1998-02-10,0.64,0.2811,Landsat 5
1998-02-26,0.1783,0.3065,Landsat 5
