date,etf,ndvi,landsat
2007-11-02,0.7508,0.1185,Landsat 7
2007-12-20,0.2062,0.1748,Landsat 7
2008-01-05,0.2687,0.2088,Landsat 7
2008-01-21,0.3284,0.1123,Landsat 7
2008-02-13,0.4807,0.2319,Landsat 7
2008-03-08,0.8447,0.2418,Landsat 5
2008-03-16,0.81,0.2708,Landsat 7
2008-03-24,0.5939,0.2465,Landsat 5
2008-04-02,0.7196,0.212,Landsat 5
2008-04-09,0.758,0.2499,Landsat 5
2008-04-17,0.5838,0.2277,Landsat 7
2008-04-18,0.6012,0.2657,Landsat 5
2008-04-25,0.4846,0.2372,Landsat 5
2008-04-26,0.4965,0.2205,Landsat 7
2008-05-04,0.6357,0.2467,Landsat 5
2008-05-12,0.5654,0.2194,Landsat 7
2008-05-19,0.1959,0.2136,Landsat 7
2008-06-13,0.1964,0.1756,Landsat 7
2008-06-20,0.3167,0.2469,Landsat 7
2008-06-28,0.1816,0.2181,Landsat 5
2008-06-29,0.1831,0.226,Landsat 7
2008-07-06,0.3251,0.2881,Landsat 7
2008-07-07,0.192,0.2248,Landsat 5
2008-07-14,0.1958,0.2526,Landsat 5
2008-07-23,0.2332,0.232,Landsat 5
2008-07-30,0.2928,0.2475,Landsat 5
2008-07-31,0.1636,0.2069,Landsat 7
2008-08-08,0.1792,0.2538,Landsat 5
2008-08-15,0.1592,0.2451,Landsat 5
2008-08-16,0.2041,0.2484,Landsat 7
2008-08-24,0.1286,0.2208,Landsat 5
2008-08-31,0.2916,0.2017,Landsat 5
2008-09-01,0.2666,0.1633,Landsat 7
2008-09-08,0.1804,0.196,Landsat 7
2008-09-09,0.0935,0.1545,Landsat 5
2008-09-16,0.1103,0.1615,Landsat 5
2008-09-25,0.4057,0.2087,Landsat 5
2008-10-10,0.3198,0.153,Landsat 7
2008-10-11,0.3209,0.1247,Landsat 5
2008-10-19,0.4285,0.1259,Landsat 7
2008-10-27,0.4801,0.1508,Landsat 5
2009-01-30,0.7247,0.1604,Landsat 7
2009-02-24,0.6934,0.2527,Landsat 7
