date,etf,ndvi,landsat
1999-11-04,0.3432,0.4371,Landsat 7
1999-11-05,0.3246,0.4254,Landsat 5
1999-11-12,0.3027,0.3603,Landsat 5
1999-11-13,0.3787,0.3847,Landsat 7
1999-11-28,0.6206,0.2888,Landsat 5
1999-11-29,0.5218,0.3525,Landsat 7
1999-12-06,0.3447,0.2987,Landsat 7
1999-12-15,0.2449,0.1867,Landsat 7
1999-12-22,0.269,0.3047,Landsat 7
1999-12-23,0.3288,0.2809,Landsat 5
1999-12-30,0.4076,0.2406,Landsat 5
1999-12-31,0.4934,0.1757,Landsat 7
2000-01-23,0.5902,0.2588,Landsat 7
2000-03-03,0.7905,0.2565,Landsat 5
2000-03-04,0.5499,0.3036,Landsat 7
2000-03-27,0.4986,0.3233,Landsat 7
2000-04-04,0.3835,0.3425,Landsat 5
2000-04-05,0.322,0.3754,Landsat 7
2000-04-12,0.4296,0.3881,Landsat 7
2000-04-20,0.5963,0.3804,Landsat 5
2000-04-29,0.3748,0.4582,Landsat 5
2000-05-06,0.4217,0.5326,Landsat 5
2000-05-22,0.5423,0.4888,Landsat 5
2000-05-23,0.4439,0.4475,Landsat 7
2000-05-30,0.3631,0.5515,Landsat 7
2000-05-31,0.4003,0.5068,Landsat 5
2000-06-07,0.412,0.5214,Landsat 5
2000-06-15,0.369,0.5075,Landsat 7
2000-06-16,0.4421,0.541,Landsat 5
2000-06-23,0.4894,0.513,Landsat 5
2000-06-24,0.5244,0.5254,Landsat 7
2000-07-01,0.474,0.5034,Landsat 7
2000-07-02,0.3807,0.5434,Landsat 5
2000-07-10,0.4909,0.5439,Landsat 7
2000-07-17,0.4676,0.5507,Landsat 7
2000-07-18,0.363,0.5047,Landsat 5
2000-07-25,0.53,0.4979,Landsat 5
2000-07-26,0.4042,0.5005,Landsat 7
2000-08-02,0.4705,0.453,Landsat 7
2000-08-10,0.3996,0.4848,Landsat 5
2000-08-11,0.43,0.5166,Landsat 7
2000-08-18,0.5633,0.4369,Landsat 7
2000-08-19,0.5284,0.5591,Landsat 5
2000-08-27,0.5116,0.5427,Landsat 7
2000-09-03,0.3756,0.5218,Landsat 7
2000-09-04,0.3628,0.5692,Landsat 5
2000-09-12,0.5438,0.5929,Landsat 7
2000-09-19,0.541,0.5162,Landsat 7
2000-09-27,0.6403,0.5391,Landsat 5
2000-09-28,0.5357,0.5566,Landsat 7
2000-10-05,0.5946,0.5225,Landsat 7
2000-10-13,0.6483,0.5153,Landsat 5
2000-10-14,0.7156,0.5674,Landsat 7
2000-10-21,0.3428,0.4801,Landsat 7
2000-10-29,0.9259,0.5048,Landsat 5
2000-11-06,0.395,0.2883,Landsat 7
2000-11-22,0.6255,0.3213,Landsat 7
2000-11-23,0.5404,0.3747,Landsat 5
2000-12-16,0.2236,0.2983,Landsat 5
2000-12-17,0.1475,0.4151,Landsat 7
2001-01-01,0.4332,0.2722,Landsat 5
2001-01-02,0.3049,0.3192,Landsat 7
2001-02-02,0.4077,0.1835,Landsat 5
