date,etf,ndvi,landsat
1990-04-16,0.5248,0.1335,Landsat 5
1990-05-02,0.8952,0.2153,Landsat 5
1990-05-25,1.0628,0.3693,Landsat 5
1990-06-03,0.7394,0.3835,Landsat 5
1990-06-26,0.7487,0.6755,Landsat 5
1990-08-13,0.9539,0.6814,Landsat 5
1990-08-22,0.8085,0.6971,Landsat 5
1990-08-29,0.4973,0.4003,Landsat 5
1990-09-07,0.5008,0.4051,Landsat 5
1990-09-14,0.412,0.4336,Landsat 5
1990-09-23,0.6037,0.4146,Landsat 5
1990-09-30,0.5399,0.4192,Landsat 5
1990-10-09,0.5322,0.3503,Landsat 5
1990-10-25,0.5217,0.3397,Landsat 5
