date,etf,ndvi,landsat
2015-11-01,0.6181,0.7487,Landsat 8
2015-11-08,0.6667,0.4834,Landsat 8
2015-11-17,0.4261,0.725,Landsat 8
2015-12-02,0.4551,0.2252,Landsat 7
2015-12-03,0.3258,0.4478,Landsat 8
2015-12-18,0.3877,0.1704,Landsat 7
2016-01-28,0.5246,0.182,Landsat 7
2016-02-12,0.7593,0.1777,Landsat 8
2016-02-21,0.5534,0.3182,Landsat 8
2016-02-28,1.5255,0.2361,Landsat 8
2016-02-29,1.0328,0.2701,Landsat 7
2016-03-08,0.6826,0.4078,Landsat 8
2016-03-16,0.38,0.2971,Landsat 7
2016-03-24,0.7527,0.4659,Landsat 8
2016-04-01,0.6593,0.2875,Landsat 7
2016-05-03,0.6889,0.4574,Landsat 7
2016-05-10,0.8891,0.3548,Landsat 7
2016-05-11,0.7541,0.625,Landsat 8
2016-05-18,0.8143,0.4006,Landsat 8
2016-05-19,0.6345,0.5006,Landsat 7
2016-05-26,0.5039,0.3659,Landsat 7
2016-05-27,0.5837,0.4872,Landsat 8
2016-06-03,0.4393,0.368,Landsat 8
2016-06-12,0.5248,0.7163,Landsat 8
2016-06-19,0.4301,0.4439,Landsat 8
2016-06-20,0.5261,0.5048,Landsat 7
2016-06-28,0.4265,0.5842,Landsat 8
2016-07-05,0.382,0.4554,Landsat 8
2016-07-06,0.3589,0.5084,Landsat 7
2016-07-14,0.5001,0.6556,Landsat 8
2016-07-22,0.5009,0.5545,Landsat 7
2016-07-30,0.423,0.613,Landsat 8
2016-08-06,0.6903,0.2915,Landsat 8
2016-08-07,0.5357,0.5029,Landsat 7
2016-08-14,0.5247,0.5041,Landsat 7
2016-08-15,0.4435,0.6199,Landsat 8
2016-08-31,0.579,0.6917,Landsat 8
2016-09-08,0.4183,0.5125,Landsat 7
2016-09-15,0.51,0.4446,Landsat 7
2016-09-16,0.6698,0.7228,Landsat 8
2016-10-10,0.534,0.5267,Landsat 7
2016-10-18,0.531,0.566,Landsat 8
2016-11-02,0.59,0.3607,Landsat 7
2016-11-03,0.6714,0.5627,Landsat 8
2016-11-10,0.6031,0.4122,Landsat 8
2016-11-11,0.4639,0.3515,Landsat 7
2016-11-19,0.6004,0.4606,Landsat 8
2016-11-26,0.3655,0.2625,Landsat 8
2016-12-28,0.3748,0.2256,Landsat 8
2017-01-29,0.4806,0.2348,Landsat 8
2017-01-30,0.4979,0.1866,Landsat 7
2017-02-06,0.4537,0.1143,Landsat 7
2017-02-14,0.3219,0.2054,Landsat 8
2017-02-23,0.2887,0.3424,Landsat 8
