date,etf,ndvi,landsat
2004-11-02,0.5286,0.4998,Landsat 5
2004-11-18,0.8249,0.3552,Landsat 5
2004-12-11,0.7787,0.2309,Landsat 5
2004-12-20,0.4588,0.2408,Landsat 5
2005-01-20,1.0139,0.2764,Landsat 7
2005-01-21,0.9063,0.2973,Landsat 5
2005-01-29,1.0306,0.335,Landsat 7
2005-02-05,0.5293,0.2327,Landsat 7
2005-02-06,0.5464,0.3211,Landsat 5
2005-02-21,0.8695,0.2772,Landsat 7
2005-03-01,0.6449,0.2863,Landsat 5
2005-03-02,0.7074,0.3172,Landsat 7
2005-03-10,0.5612,0.3298,Landsat 5
2005-03-18,0.2996,0.3461,Landsat 7
2005-04-02,0.5472,0.2869,Landsat 5
2005-04-18,0.4045,0.4058,Landsat 5
2005-04-19,0.3818,0.4026,Landsat 7
2005-05-04,0.6316,0.4396,Landsat 5
2005-05-20,0.4186,0.4648,Landsat 5
2005-05-21,0.4629,0.4291,Landsat 7
2005-05-29,0.4946,0.5094,Landsat 5
2005-06-05,0.5294,0.4607,Landsat 5
2005-06-13,0.6281,0.5168,Landsat 7
2005-06-14,0.5771,0.5341,Landsat 5
2005-06-21,0.4706,0.5141,Landsat 5
2005-06-30,0.503,0.4896,Landsat 5
2005-07-07,0.4156,0.5052,Landsat 5
2005-07-08,0.3708,0.5014,Landsat 7
2005-07-15,0.4471,0.4454,Landsat 7
2005-07-16,0.3534,0.5009,Landsat 5
2005-07-23,0.3944,0.4604,Landsat 5
2005-07-31,0.4744,0.4788,Landsat 7
2005-08-08,0.5244,0.4165,Landsat 5
2005-08-16,0.5484,0.4313,Landsat 7
2005-08-17,0.4819,0.5366,Landsat 5
2005-08-24,0.4895,0.5393,Landsat 5
2005-09-01,0.535,0.4805,Landsat 7
2005-09-02,0.4902,0.5031,Landsat 5
2005-09-17,0.3639,0.5028,Landsat 7
2005-09-18,0.3401,0.4399,Landsat 5
2005-09-25,0.3913,0.5201,Landsat 5
2005-09-26,0.5479,0.551,Landsat 7
2005-11-04,0.2123,0.3162,Landsat 7
2005-11-05,0.4511,0.3494,Landsat 5
2005-11-20,0.762,0.3823,Landsat 7
2005-11-21,0.7415,0.3851,Landsat 5
2006-01-23,0.4923,0.1639,Landsat 7
2006-01-24,0.4298,0.1772,Landsat 5
2006-02-09,0.5674,0.1549,Landsat 5
2006-02-16,0.1136,0.1691,Landsat 5
2006-02-24,0.4765,0.246,Landsat 7
2006-02-25,0.4131,0.2227,Landsat 5
