date,eto
2006-01-01,2.7031266689300537
2006-01-02,2.255697011947632
2006-01-03,2.3633131980895996
2006-01-04,1.8444762229919434
2006-01-05,1.419580340385437
2006-01-06,1.0297881364822388
2006-01-07,2.1296472549438477
2006-01-08,2.423548698425293
2006-01-09,1.462947964668274
2006-01-10,0.8334254622459412
2006-01-11,1.1087549924850464
2006-01-12,2.064401149749756
2006-01-13,1.2539942264556885
2006-01-14,2.12593674659729
2006-01-15,2.3332836627960205
2006-01-16,1.920415997505188
2006-01-17,1.6669886112213135
2006-01-18,1.776440978050232
2006-01-19,1.909340739250183
2006-01-20,1.5629997253417969
2006-01-21,1.1008559465408325
2006-01-22,1.0900816917419434
2006-01-23,0.8880189657211304
2006-01-24,1.6694974899291992
2006-01-25,2.1169490814208984
2006-01-26,1.1832976341247559
2006-01-27,1.1379088163375854
2006-01-28,1.1295877695083618
2006-01-29,1.341704249382019
2006-01-30,1.1504672765731812
2006-01-31,1.1950042247772217
2006-02-01,1.9466058015823364
2006-02-02,2.282593250274658
2006-02-03,2.8772170543670654
2006-02-04,1.8367977142333984
2006-02-05,3.042288064956665
2006-02-06,2.146582841873169
2006-02-07,1.8952877521514893
2006-02-08,1.7834348678588867
2006-02-09,2.2092111110687256
2006-02-10,3.377861261367798
2006-02-11,2.600318193435669
2006-02-12,1.4132654666900635
2006-02-13,1.9670195579528809
2006-02-14,1.8714255094528198
2006-02-15,4.219598293304443
2006-02-16,3.2211387157440186
2006-02-17,3.197502613067627
2006-02-18,2.8816733360290527
2006-02-19,2.667875051498413
2006-02-20,2.5646142959594727
2006-02-21,2.617612361907959
2006-02-22,2.7399179935455322
2006-02-23,2.000560998916626
2006-02-24,2.4103844165802
2006-02-25,2.4202258586883545
2006-02-26,4.296420097351074
2006-02-27,3.592042922973633
2006-02-28,3.335397481918335
2006-03-01,2.631669044494629
2006-03-02,2.7229058742523193
2006-03-03,4.3946051597595215
2006-03-04,3.586364984512329
2006-03-05,2.923553705215454
2006-03-06,4.191596984863281
2006-03-07,4.237005710601807
2006-03-08,3.283625841140747
2006-03-09,2.28865122795105
2006-03-10,2.692380428314209
2006-03-11,2.387810468673706
2006-03-12,1.5619266033172607
2006-03-13,1.615583896636963
2006-03-14,2.105640411376953
2006-03-15,2.8809800148010254
2006-03-16,2.8247878551483154
2006-03-17,3.8330535888671875
2006-03-18,3.027303457260132
2006-03-19,2.39846134185791
2006-03-20,3.120304822921753
2006-03-21,2.462825298309326
2006-03-22,3.048757553100586
2006-03-23,2.5728282928466797
2006-03-24,3.284210681915283
2006-03-25,4.284299850463867
2006-03-26,4.778696537017822
2006-03-27,3.295679807662964
2006-03-28,3.4065067768096924
2006-03-29,4.019220352172852
2006-03-30,3.5022761821746826
2006-03-31,4.3979811668396
2006-04-01,3.115009307861328
2006-04-02,3.867037773132324
2006-04-03,4.951784133911133
2006-04-04,4.9345197677612305
2006-04-05,5.57658576965332
2006-04-06,3.9373393058776855
2006-04-07,4.782025337219238
2006-04-08,5.045334815979004
2006-04-09,5.915778636932373
2006-04-10,6.107367992401123
2006-04-11,4.909120559692383
2006-04-12,5.308197021484375
2006-04-13,6.23532247543335
2006-04-14,5.6571197509765625
2006-04-15,6.2125468254089355
2006-04-16,5.277266025543213
2006-04-17,7.421919822692871
2006-04-18,4.781434535980225
2006-04-19,4.468436241149902
2006-04-20,5.671082973480225
2006-04-21,5.540855407714844
2006-04-22,8.222664833068848
2006-04-23,8.40883731842041
2006-04-24,5.419539928436279
2006-04-25,4.371161460876465
2006-04-26,5.777451515197754
2006-04-27,6.846320152282715
2006-04-28,5.825951099395752
2006-04-29,5.623919486999512
2006-04-30,6.7982707023620605
2006-05-01,5.928020477294922
2006-05-02,6.456076145172119
2006-05-03,6.775193691253662
2006-05-04,6.950528144836426
2006-05-05,5.917557239532471
2006-05-06,5.6900858879089355
2006-05-07,6.285777568817139
2006-05-08,6.819442272186279
2006-05-09,5.828603744506836
2006-05-10,6.035497188568115
2006-05-11,4.994231700897217
2006-05-12,5.9061784744262695
2006-05-13,5.635514736175537
2006-05-14,5.557806015014648
2006-05-15,6.2036848068237305
2006-05-16,6.3546600341796875
2006-05-17,6.371212959289551
2006-05-18,6.671514987945557
2006-05-19,6.431346416473389
2006-05-20,7.402621269226074
2006-05-21,6.36419677734375
2006-05-22,8.307178497314453
2006-05-23,6.4502034187316895
2006-05-24,5.928683757781982
2006-05-25,6.9897260665893555
2006-05-26,8.324444770812988
2006-05-27,8.603774070739746
2006-05-28,7.847397804260254
2006-05-29,4.99623441696167
2006-05-30,6.204590320587158
2006-05-31,5.878221035003662
2006-06-01,6.652989387512207
2006-06-02,6.687130451202393
2006-06-03,7.081227779388428
2006-06-04,7.321870803833008
2006-06-05,7.390408515930176
2006-06-06,8.112698554992676
2006-06-07,8.926304817199707
2006-06-08,6.298013210296631
2006-06-09,7.208222389221191
2006-06-10,7.242838382720947
2006-06-11,7.230327606201172
2006-06-12,7.674321174621582
2006-06-13,7.428645133972168
2006-06-14,10.207799911499023
2006-06-15,7.222522258758545
2006-06-16,7.726733684539795
2006-06-17,7.407215118408203
2006-06-18,6.216729640960693
2006-06-19,8.609030723571777
2006-06-20,8.540143013000488
2006-06-21,7.326583385467529
2006-06-22,7.153934478759766
2006-06-23,7.5799455642700195
2006-06-24,7.765474319458008
2006-06-25,7.375555992126465
2006-06-26,7.0004658699035645
2006-06-27,6.270864963531494
2006-06-28,6.640689849853516
2006-06-29,7.1503520011901855
2006-06-30,6.564058780670166
2006-07-01,6.7406392097473145
