date,etf,ndvi,landsat
2012-11-07,0.7611,0.4719,Landsat 7
2012-11-14,0.6462,0.3477,Landsat 7
2012-11-23,1.0107,0.3668,Landsat 7
2013-03-31,0.6954,0.3317,Landsat 7
2013-04-07,0.6231,0.3376,Landsat 7
2013-05-02,0.6433,0.4343,Landsat 7
2013-05-17,0.585,0.4874,Landsat 8
2013-05-18,0.5315,0.4904,Landsat 7
2013-05-25,0.4341,0.436,Landsat 7
2013-05-26,0.4948,0.4792,Landsat 8
2013-06-02,0.5471,0.5057,Landsat 8
2013-06-03,0.3669,0.4573,Landsat 7
2013-06-11,0.3499,0.4706,Landsat 8
2013-06-18,0.4774,0.474,Landsat 8
2013-06-26,0.379,0.3838,Landsat 7
2013-06-27,0.421,0.4099,Landsat 8
2013-07-04,0.5379,0.4549,Landsat 8
2013-07-20,0.559,0.5218,Landsat 8
2013-07-21,0.5061,0.4974,Landsat 7
2013-08-05,0.6562,0.4878,Landsat 8
2013-08-13,0.6473,0.5083,Landsat 7
2013-08-14,0.5969,0.572,Landsat 8
2013-08-21,0.6847,0.512,Landsat 8
2013-08-30,0.5756,0.6343,Landsat 8
2013-09-06,0.5631,0.6168,Landsat 8
2013-09-15,1.2382,0.6457,Landsat 8
2013-09-30,0.535,0.4958,Landsat 7
2013-10-01,0.5216,0.6289,Landsat 8
2013-10-08,0.6142,0.6685,Landsat 8
2013-10-16,1.0266,0.5678,Landsat 7
2013-10-17,0.9114,0.6227,Landsat 8
2013-11-01,1.087,0.5498,Landsat 7
2013-11-02,0.7611,0.6163,Landsat 8
2013-11-09,1.2973,0.5,Landsat 8
2013-11-10,1.1027,0.4798,Landsat 7
2013-11-17,1.0232,0.5033,Landsat 7
2013-11-18,1.248,0.5119,Landsat 8
2014-02-21,0.481,0.2375,Landsat 7
2014-02-22,0.4861,0.3173,Landsat 8
