date,etf,ndvi,landsat
2003-11-08,0.5266,0.4181,Landsat 7
2003-12-09,0.4707,0.2293,Landsat 5
2003-12-10,0.378,0.1286,Landsat 7
2004-01-26,0.2598,0.1964,Landsat 5
2004-02-20,0.7567,0.2569,Landsat 5
2004-03-07,0.6281,0.2314,Landsat 5
2004-03-14,0.4005,0.1805,Landsat 5
2004-03-15,0.6774,0.2804,Landsat 7
2004-03-22,0.2841,0.26,Landsat 7
2004-03-30,0.3969,0.3113,Landsat 5
2004-03-31,0.4367,0.3492,Landsat 7
2004-04-16,0.3999,0.3879,Landsat 7
2004-04-24,0.6779,0.4641,Landsat 5
2004-05-01,0.7677,0.4386,Landsat 5
2004-05-10,0.3613,0.5161,Landsat 5
2004-05-18,0.4218,0.4806,Landsat 7
2004-05-26,0.5148,0.5654,Landsat 5
2004-06-02,0.5649,0.5113,Landsat 5
2004-06-03,0.4142,0.5017,Landsat 7
2004-06-11,0.5087,0.4589,Landsat 5
2004-07-04,0.3694,0.4555,Landsat 5
2004-07-05,0.3513,0.4974,Landsat 7
2004-07-12,0.4118,0.4333,Landsat 7
2004-07-13,0.366,0.4915,Landsat 5
2004-07-20,0.4487,0.466,Landsat 5
2004-07-21,0.5366,0.4789,Landsat 7
2004-07-28,0.5404,0.4085,Landsat 7
2004-07-29,0.3522,0.4994,Landsat 5
2004-08-06,0.479,0.4974,Landsat 7
2004-08-13,0.4352,0.4837,Landsat 7
2004-08-14,0.4133,0.5246,Landsat 5
2004-08-21,0.4866,0.4816,Landsat 5
2004-08-22,0.3481,0.3259,Landsat 7
2004-08-29,0.4239,0.4383,Landsat 7
2004-08-30,0.4208,0.4822,Landsat 5
2004-09-06,0.599,0.4405,Landsat 5
2004-09-15,0.4995,0.5263,Landsat 5
2004-09-23,0.7803,0.58,Landsat 7
2004-10-01,0.6074,0.5928,Landsat 5
2004-10-08,0.7116,0.4575,Landsat 5
2004-10-09,0.4842,0.5653,Landsat 7
2004-10-16,0.3916,0.525,Landsat 7
2004-11-02,0.5286,0.4998,Landsat 5
2004-11-18,0.8249,0.3552,Landsat 5
2004-12-11,0.7787,0.2309,Landsat 5
2004-12-20,0.4588,0.2408,Landsat 5
2005-01-20,1.0139,0.2764,Landsat 7
2005-01-21,0.9063,0.2973,Landsat 5
2005-01-29,1.0306,0.335,Landsat 7
2005-02-05,0.5293,0.2327,Landsat 7
2005-02-06,0.5464,0.3211,Landsat 5
2005-02-21,0.8695,0.2772,Landsat 7
