date,etf,ndvi,landsat
2003-11-08,0.3797,0.1071,Landsat 7
2003-12-02,0.2688,0.1089,Landsat 5
2003-12-10,0.4242,0.1202,Landsat 7
2003-12-11,0.3901,0.1215,Landsat 5
2003-12-18,0.6295,0.1216,Landsat 5
2004-01-04,0.2451,0.0875,Landsat 7
2004-01-19,0.8659,0.0846,Landsat 5
2004-01-28,0.4443,0.0855,Landsat 5
2004-02-13,0.2711,0.0339,Landsat 5
2004-03-07,0.5441,0.1178,Landsat 5
2004-03-08,0.5372,0.0788,Landsat 7
2004-03-15,0.2047,0.1023,Landsat 7
2004-03-16,0.1779,0.0821,Landsat 5
2004-03-24,0.1622,0.1015,Landsat 7
2004-03-31,0.0719,0.1084,Landsat 7
2004-04-16,0.1277,0.115,Landsat 7
2004-04-17,0.0868,0.1139,Landsat 5
2004-05-02,0.1651,0.1168,Landsat 7
2004-05-10,0.103,0.1506,Landsat 5
2004-05-11,0.0962,0.1408,Landsat 7
2004-05-18,0.0729,0.1298,Landsat 7
2004-05-26,0.0755,0.1285,Landsat 5
2004-06-03,0.063,0.1168,Landsat 7
2004-06-04,0.06,0.1266,Landsat 5
2004-06-11,0.0898,0.1204,Landsat 5
2004-06-12,0.0661,0.123,Landsat 7
2004-06-20,0.0622,0.1265,Landsat 5
2004-06-27,0.1043,0.1312,Landsat 5
2004-07-05,0.0616,0.1227,Landsat 7
2004-07-06,0.0605,0.1248,Landsat 5
2004-07-13,0.0636,0.1186,Landsat 5
2004-07-14,0.0537,0.1048,Landsat 7
2004-07-21,0.0709,0.1171,Landsat 7
2004-07-22,0.0484,0.1117,Landsat 5
2004-07-29,0.0863,0.1254,Landsat 5
2004-08-07,0.0837,0.1278,Landsat 5
2004-08-15,0.084,0.1179,Landsat 7
2004-08-22,0.0828,0.1142,Landsat 7
2004-08-30,0.0704,0.1084,Landsat 5
2004-08-31,0.0773,0.1233,Landsat 7
2004-09-07,0.0825,0.1048,Landsat 7
2004-09-08,0.0979,0.131,Landsat 5
2004-09-15,0.0581,0.1124,Landsat 5
2004-09-23,0.2579,0.12,Landsat 7
2004-09-24,0.2134,0.1293,Landsat 5
2004-10-01,0.5575,0.1715,Landsat 5
2004-10-09,0.165,0.1239,Landsat 7
2004-10-26,0.6453,0.0854,Landsat 5
2004-11-02,0.4051,0.132,Landsat 5
2004-11-03,0.422,0.1221,Landsat 7
2004-11-18,0.9508,0.1418,Landsat 5
2004-11-19,0.8289,0.1363,Landsat 7
2004-12-12,1.051,0.1357,Landsat 7
2004-12-13,0.5714,0.1308,Landsat 5
2005-01-14,0.6448,0.126,Landsat 5
2005-01-21,0.9792,0.128,Landsat 5
2005-01-22,0.7707,0.1528,Landsat 7
2005-02-06,0.62,0.1099,Landsat 5
2005-02-14,0.9305,0.1554,Landsat 7
2005-02-15,0.7581,0.1626,Landsat 5
