date,etf,ndvi,landsat
2002-11-03,0.6655,0.4348,Landsat 5
2002-11-19,1.1105,0.4603,Landsat 5
2002-11-27,0.463,0.4617,Landsat 7
2003-01-06,0.6169,0.544,Landsat 5
2003-02-07,0.4532,0.3916,Landsat 5
2003-03-27,0.9186,0.4367,Landsat 5
2003-05-14,0.9224,0.3518,Landsat 5
2003-05-22,1.093,0.5014,Landsat 7
2003-05-30,1.1121,0.6198,Landsat 5
2003-06-15,0.8766,0.6207,Landsat 5
2003-07-01,0.9446,0.6115,Landsat 5
2003-07-17,0.7168,0.6326,Landsat 5
2003-07-25,0.8817,0.6311,Landsat 7
2003-08-10,0.8462,0.6273,Landsat 7
2003-08-18,0.6979,0.5857,Landsat 5
2003-09-19,0.7724,0.5519,Landsat 5
2003-09-27,0.529,0.6144,Landsat 7
2003-10-05,0.9729,0.582,Landsat 5
2003-10-13,0.6474,0.5954,Landsat 7
2003-10-21,0.8297,0.4985,Landsat 5
2003-10-29,0.8831,0.4677,Landsat 7
2003-11-22,0.7059,0.3439,Landsat 5
2003-12-08,2.4085,0.1945,Landsat 5
2004-02-10,0.7898,0.4362,Landsat 5
