date,etf,ndvi,landsat
1988-03-18,0.4695,0.1779,Landsat 5
1988-03-25,0.4889,0.2075,Landsat 5
1988-04-10,0.4891,0.2647,Landsat 5
1988-04-19,0.5313,0.3083,Landsat 5
1988-04-26,0.5765,0.3481,Landsat 5
1988-05-12,0.3923,0.3127,Landsat 5
1988-05-21,0.4405,0.34,Landsat 5
1988-05-28,0.4084,0.4386,Landsat 5
1988-06-06,0.3611,0.4056,Landsat 5
1988-06-13,0.4701,0.4284,Landsat 5
1988-06-22,0.5859,0.5049,Landsat 5
1988-06-29,0.5955,0.4569,Landsat 5
1988-07-08,0.5435,0.5304,Landsat 5
1988-07-15,0.5179,0.4907,Landsat 5
1988-07-24,0.5072,0.4685,Landsat 5
1988-07-31,0.4959,0.4617,Landsat 5
1988-08-09,0.468,0.4519,Landsat 5
1988-09-01,0.3852,0.3671,Landsat 5
1988-09-10,0.2448,0.4116,Landsat 5
1988-09-17,0.369,0.4292,Landsat 5
1988-10-03,0.5685,0.3942,Landsat 5
1988-10-19,0.3971,0.4376,Landsat 5
1988-10-28,0.2719,0.3182,Landsat 5
