date,etf,ndvi,landsat
2008-11-11,0.9803,0.1678,Landsat 5
2009-01-21,0.3992,0.1131,Landsat 5
2009-03-03,0.8337,0.1303,Landsat 5
2009-03-19,0.8605,0.1573,Landsat 5
2009-04-12,0.6753,0.1529,Landsat 7
2009-04-20,0.5719,0.1752,Landsat 5
2009-04-27,0.8242,0.1845,Landsat 5
2009-04-28,0.6428,0.195,Landsat 7
2009-05-06,0.5594,0.2503,Landsat 5
2009-05-13,0.555,0.2562,Landsat 5
2009-05-21,0.5372,0.3232,Landsat 7
2009-05-22,0.514,0.3033,Landsat 5
2009-05-29,0.8685,0.3904,Landsat 5
2009-05-30,0.9832,0.4325,Landsat 7
2009-06-15,1.4303,0.4008,Landsat 7
2009-06-23,1.0169,0.5217,Landsat 5
2009-06-30,0.852,0.6136,Landsat 5
2009-07-09,0.9127,0.6629,Landsat 5
2009-07-16,0.7277,0.6599,Landsat 5
2009-07-25,0.8913,0.6024,Landsat 5
2009-08-01,0.7463,0.6375,Landsat 5
2009-08-10,0.8433,0.5819,Landsat 5
2009-08-17,0.9933,0.4494,Landsat 5
2009-08-18,0.6314,0.4302,Landsat 7
2009-08-26,0.6842,0.4456,Landsat 5
2009-09-03,0.52,0.4101,Landsat 7
2009-09-11,0.5225,0.378,Landsat 5
2009-09-18,0.5515,0.3553,Landsat 5
2009-09-19,0.4171,0.3502,Landsat 7
2009-09-26,0.2178,0.3331,Landsat 7
2009-09-27,0.2323,0.3342,Landsat 5
2009-10-29,0.2742,0.2464,Landsat 5
2009-11-05,0.3464,0.2193,Landsat 5
2009-11-06,0.3904,0.2142,Landsat 7
2009-11-30,0.4843,0.2056,Landsat 5
